    1  98 0.03561         621.83766  15       0 SAVE "RAINYCR"
    2   1 0.00001         144.85281   1       8
    3   1 0.00005         307.27922   1       8
    4  97 0.09428          42.42641  15       1
    5   1 0.21667          30.00000  13       1
    6   1 0.18333          30.00000  13       4
    7   1 0.00033         282.42641   1       8
    8   2 0.01016         344.55844  13      11
    9   1 0.02177         344.55844  13      11
   10  96 0.07906         784.26407  15       4
   11   3 0.17851         506.98485  13      13
   12   1 0.21213          84.85281  13      13
   13   4 0.13333          30.00000  13      25
   14   1 0.21161         174.85281  13      25
   15   1 0.06612         114.85281  13      10
   16   1 0.31667          60.00000  13      33
   17   1 0.38660          72.42641  13      33
   18  95 0.07763         272.13203  15      10
   19   1 0.31590         392.13203  13      18
   20   1 0.22392          42.42641  13      24
   21   1 0.12964          42.42641  13      24
   22   1 0.58411         332.13203  13      55
   23   1 0.59130         282.42641  13      55
   24   2 0.20020          72.42641  13      40
   25   5 0.14680         326.98485  13      40
   26  94 0.02216         174.85281  15      18
   27   1 0.29603         344.55844  13      26
   28   1 0.00833          30.00000   7      29
   29  91 0.01667          30.00000  15      31
   30  93 0.14142          84.85281  15      26
   31  92 0.07778          90.00000  15      30
   32   1 0.41767         289.70563  13      67
   33   2 0.26781         429.41125  13      67
   34  90 0.01179          42.42641  15      29
   35   1 0.38950         277.27922  13      34
   36  89 0.22981          42.42641  15      34
   37  88 0.09625         127.27922  15      36
   38   1 0.33333          30.00000  13      37
   39   1 0.59479         174.85281  13      30
   40   6 0.28904         332.13203  13     171
   41   1 0.41005         102.42641  13     171
   42  87 0.03333          30.00000  15      37
   43   1 0.26667          60.00000  13      42
   44  86 0.04167          30.00000  15      42
   45   1 0.59013         332.13203  13      26
   46  85 0.09320          72.42641  15      44
   47   2 0.34781         204.85281  13      36
   48   1 0.06667          30.00000  13      46
   49   1 0.09320          72.42641  13      44
   50   1 0.34010         641.54329  13      52
   51  84 0.08397          84.85281  15      46
   52  83 0.02292          30.00000  15      51
   53   1 0.40041          72.42641  13      47
   54   1 0.54370         132.42641  13      76
   55   2 0.44224         474.85281  13      76
   56   1 0.47587         674.55844  13      65
   57   1 0.51086          72.42641  13      65
   58   1 0.00010          30.00000   1      60
   59   1 0.31516         187.27922  13      62
   60  80 0.00029          60.00000   3      62
   61  82 0.00331          42.42641   9      52
   62  81 0.00078          30.00000   3      61
   63   2 0.01841          42.42641  13      51
   64  79 0.00014          42.42641   3      60
   65   2 0.29573         277.27922  13      64
   66   2 0.01445          72.42641  13      61
   67   3 0.34915         469.70563  13      69
   68   1 0.14395         132.42641  13      71
   69  14 0.03438          60.00000  14      71
   70   1 0.12964          42.42641  13      73
   71  15 0.04484         132.42641  14      73
   72   1 0.14157         102.42641  13      85
   73  16 0.02500          60.00000  14      85
   74   1 0.36667          60.00000  13      66
   75   1 0.47583         809.11688  13      84
   76   3 0.17574         204.85281  13      84
   77  78 0.05147         174.85281  15      64
   78   1 0.34606         254.55844  13      63
   79   1 0.29168         229.70563  13      80
   80  12 0.20000          30.00000  14      81
   81  13 0.05523         289.70563  14      69
   82   1 0.18640          72.42641  13      77
   83  11 0.08250          84.85281  14      80
   84   4 0.10503         102.42641  13      92
   85  17 0.07003         332.13203  14      92
   86   1 0.42451         381.83766  13      63
   87   1 0.46429         501.83766  13      88
   88  10 0.08787         102.42641  14      83
   89   1 0.34177          84.85281  13      90
   90   9 0.12426          72.42641  13      88
